cve_ent,cve_mun,cve_loc,nom_loc
26,000,0000,Sonora
26,001,0000,Aconchi
26,001,0001,Aconchi
26,001,0003,La Estancia
26,001,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
26,002,0000,Agua Prieta
26,002,0001,Agua Prieta
26,002,0046,El Rusbayo
26,002,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
26,003,0000,Álamos
26,003,0001,Álamos
26,003,0002,La Aduana
26,003,0033,Basiroa
26,003,0064,Cerro Colorado (El Colorado)
26,003,0069,Cochibampo
26,003,0072,Campamento las Casitas (El Mocúzarit)
26,003,0089,El Chinal
26,003,0143,Macoyahui
26,003,0145,El Maquipo
26,003,0163,Munihuasa
26,003,0198,Potrero de Alcántar
26,003,0206,Rancherías
26,003,0224,San Bernardo
26,003,0255,Los Tanques
26,003,0256,Tapizuelas
26,003,0265,La Tescalama
26,003,0274,Vado Cuate
26,003,0280,Yocojigua
26,003,0283,El Zapote
26,003,0352,Los Estrados
26,003,0389,La Providencia
26,003,0525,Mesa Colorada
26,003,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
26,004,0000,Altar
26,004,0001,Altar
26,004,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
26,004,9999,Localidad no especificada
26,005,0000,Arivechi
26,005,0001,Arivechi
26,005,0006,Tarachi
26,005,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
26,006,0000,Arizpe
26,006,0001,Arizpe
26,006,0007,Bacanuchi
26,006,0084,Sinoquipe
26,006,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
26,007,0000,Atil
26,007,0001,Atil
26,007,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
26,008,0000,Bacadéhuachi
26,008,0001,Bacadéhuachi
26,008,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
26,009,0000,Bacanora
26,009,0001,Bacanora
26,009,0006,El Encinal
26,009,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
26,010,0000,Bacerac
26,010,0001,Bacerac
26,010,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
26,011,0000,Bacoachi
26,011,0001,Bacoachi
26,011,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
26,012,0000,Bácum
26,012,0001,Bácum
26,012,0003,Atotonilco
26,012,0007,Bataconcica (Museo Chopocuni)
26,012,0082,Francisco Javier Mina (Campo 60)
26,012,0083,Independencia (Campo 104)
26,012,0085,El Juvani
26,012,0086,Loma de Bácum
26,012,0088,Miguel Alemán (La Noria)
26,012,0090,Primero de Mayo (Campo 77)
26,012,0093,San José de Bácum
26,012,0094,Santa Teresa
26,012,0100,Villa Guadalupe
26,012,0159,La Bomba (Juan Maldonado Tetabiate)
26,012,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
26,012,9999,Localidad no especificada
26,013,0000,Banámichi
26,013,0001,Banámichi
26,013,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
26,014,0000,Baviácora
26,014,0001,Baviácora
26,014,0002,La Aurora
26,014,0005,La Capilla
26,014,0010,La Labor
26,014,0011,Mazocahui
26,014,0015,San José (San José de Baviácora)
26,014,0017,Suaqui
26,014,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
26,015,0000,Bavispe
26,015,0001,Bavispe
26,015,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
26,016,0000,Benjamín Hill
26,016,0001,Benjamín Hill
26,016,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
26,017,0000,Caborca
26,017,0001,Heroica Caborca
26,017,0009,Álvaro Obregón
26,017,0062,El Coyote
26,017,0072,La Alameda (Cortázar)
26,017,0083,El Diamante (La Retranca)
26,017,0187,San Isidro
26,017,0246,Plutarco Elías Calles (La Y Griega)
26,017,0251,+ltimo Esfuerzo
26,017,0320,La Primavera
26,017,0411,Ures
26,017,0554,San Pedro
26,017,0555,José María Morelos
26,017,0612,Siempre Viva
26,017,0617,El Desemboque (Kuwai)
26,017,0783,La Almita
26,017,0793,Salomón Quihuis
26,017,0898,Poblado San Felipe
26,017,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
26,017,9999,Localidad no especificada
26,018,0000,Cajeme
26,018,0001,Ciudad Obregón
26,018,0072,Altos de Jecopaco
26,018,0074,Allende (El Dieciocho)
26,018,0076,Antonio Rosales
26,018,0090,Buenavista
26,018,0093,Cuauhtémoc (Campo Cinco)
26,018,0284,Cócorit
26,018,0289,Estación Corral
26,018,0296,Cumuripa
26,018,0311,Esperanza
26,018,0314,Francisco I. Madero (Campo 30)
26,018,0315,Francisco Villa
26,018,0319,Los Hornos
26,018,0329,Loma de Guamúchil
26,018,0334,Marte R. Gómez (Tobarito)
26,018,0339,Mora Villalobos (Campo 29)
26,018,0340,Morelos Uno
26,018,0341,Morelos Dos
26,018,0356,Vicente Guerrero (El Portón)
26,018,0362,Progreso (Campo 47)
26,018,0364,Providencia
26,018,0365,Quetchehueca
26,018,0387,Tajimaroa
26,018,0391,Ejido Tepeyac (Campo Dos)
26,018,0394,La Tinajera
26,018,0397,31 de Octubre
26,018,0403,Pueblo Yaqui
26,018,0404,Yucuribampo
26,018,0405,Centauro del Norte
26,018,0505,El Henequén
26,018,0526,Zona de Granjas (Granjas Mica)
26,018,0535,Puente de Picos
26,018,0543,Kilómetro Nueve (El Pueblito)
26,018,0849,La Argentina
26,018,0996,San Ignacio (Campo 2)
26,018,2480,Álvaro Obregón (El Ranchito)
26,018,3247,Pablo Bórquez (Campo 16)
26,018,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
26,018,9999,Localidad no especificada
26,019,0000,Cananea
26,019,0001,Heroica Ciudad de Cananea
26,019,0068,Vicente Guerrero
26,019,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
26,020,0000,Carbó
26,020,0001,Carbó
26,020,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
26,021,0000,La Colorada
26,021,0001,La Colorada
26,021,0061,Tecoripa
26,021,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
